X;Y;fijacion;modelo;nomcalle;portal;barrio;leyenda_mo;codigo;observ;distritos
729018.066;4367044.64;;;;;;;268;;
729109.951;4367023.48199999984;;;;;;;271;;
729143.803;4367042.82699999958;;;;;;;274;;
729352.357;4366981.77099999972;;;;;;;277;;
729373.238;4366977.12899999972;;;;;;;278;;
729366.075;4367012.89499999955;;;;;;;279;;
729267.122;4366932.807;;;;;;;280;;
729203.044;4366942.479;;;;;;;281;;
729210.298;4366837.899;;;;;;;282;;
729046.478;4366900.16299999971;;;;;;;283;;
729024.111;4366938.247;;;;;;;284;;
728957.011;4366895.932;;;;;;;285;;
728958.824;4366875.37899999972;;;;;;;286;;
728948.548;4366911.045;;;;;;;287;;
728942.503;4366951.546;;;;;;;288;;
728921.345;4366949.733;;;;;;;289;;
728929.204;4366902.582;;;;;;;290;;
728938.876;4366869.938;;;;;;;291;;
728946.734;4366824.6;;;;;;;292;;
728868.149;4366953.36;;;;;;;293;;
729315.482;4366703.699;;;;;;;294;;
728878.425;4367235.059;;;;;;;295;;
728891.725;4367243.52199999988;;;;;;;296;;
729082.748;4367371.677;;;;;;;297;;
729139.572;4367345.079;;;;;;;298;;
729188.537;4367323.921;;;;;;;299;;
729224.202;4367308.809;;;;;;;300;;
729262.891;4367290.67399999965;;;;;;;301;;
729414.017;4367193.348;;;;;;;302;;
729434.57;4367118.389;;;;;;;303;;
729443.637;4367079.701;;;;;;;304;;
729452.705;4367045.244;;;;;;;305;;
729460.564;4367012.60099999979;;;;;;;306;;
729472.049;4366972.099;;;;;;;307;;
729491.16;4366900.98599999957;;;;;;;308;;
729499.838;4366841.94;;;;;;;309;;
729486.715;4366790.173;;;;;;;310;;
729481.963;4366758.592;;;;;;;311;;
729476.923;4366687.33299999963;;;;;;;312;;
729475.73;4366615.962;;;;;;;313;;
729467.635;4366710.173;;;;;;;314;;
729470.335;4366660.744;;;;;;;315;;
729471.153;4366571.262;;;;;;;316;;
729478.719;4366529.309;;;;;;;317;;
729485.377;4366482.262;;;;;;;318;;
729503.173;4366436.25899999961;;;;;;;319;;
729521.258;4366351.596;;;;;;;321;;
729541.819;4366281.201;;;;;;;323;;
729574.156;4366205.229;;;;;;;324;;
729607.536;4366116.483;;;;;;;325;;
729577.753;4366165.68599999975;;;;;;;326;;
729586.765;4366134.65;;;;;;;327;;
725765.617;4367919.761;;;;;;;328;;
725813.504;4368087.062;;;;;;;329;;
725826.839;4368064.63399999961;;;;;;;330;;
725816.528;4368021.47;;;;;;;331;;
725805.017;4368050.086;;;;;;;332;;
725802.593;4368029.477;;;;;;;334;;
725772.891;4368039.17499999981;;;;;;;335;;
725757.131;4368028.87;;;;;;;336;;
725726.823;4368053.723;;;;;;;337;;
725746.22;4368002.80599999987;;;;;;;338;;
725855.935;4368082.819;;;;;;;339;;
725871.089;4368023.415;;;;;;;340;;
725922.263;4368032.918;;;;;;;341;;
725997.241;4367967.72;;;;;;;342;;
726001.805;4368018.575;;;;;;;343;;
725995.937;4368068.77699999977;;;;;;;344;;
725975.964;4368080.20199999958;;;;;;;345;;
725926.827;4367954.029;;;;;;;346;;
727146.685;4368083.77199999988;;;;;;;347;;
727009.769;4368123.543;;;;;;;348;;
726977.822;4368042.69699999969;;;;;;;349;;
726941.311;4367896.001;;;;;;;350;;
726936.095;4367820.371;;;;;;;351;;
726905.124;4367693.92;;;;;;;352;;
726922.106;4367706.12799999956;;;;;;;353;;
726908.712;4367670.416;;;;;;;356;;
726888.5;4367628.689;;;;;;;357;;
726895.672;4367588.918;;;;;;;358;;
726741.804;4367678.89099999983;;;;;;;359;;
726633.575;4367700.40699999966;;;;;;;360;;
726962.826;4367720.61799999978;;;;;;;361;;
727035.848;4367729.746;;;;;;;362;;
727070.403;4367725.834;;;;;;;363;;
726886.13;4367415.93499999959;;;;;;;364;;
726879.709;4367217.848;;;;;;;365;;
726935.568;4367128.352;;;;;;;368;;
726922.354;4367132.557;;;;;;;369;;
726963.198;4367143.96899999958;;;;;;;370;;
726991.428;4367113.336;;;;;;;371;;
727080.923;4367319.956;;;;;;;372;;
726889.319;4366995.61099999957;;;;;;;373;;
726865.293;4366904.313;;;;;;;375;;
726855.082;4366840.045;;;;;;;376;;
727103.148;4368037.121;;;;;;;377;;
727114.56;4368017.3;;;;;;;378;;
727126.573;4368029.91299999971;;;;;;;379;;
727134.982;4368019.102;;;;;;;380;;
727042.094;4367154.73699999973;;;;;;;381;;
727018.823;4367166.372;;;;;;;382;;
727033.881;4367169.11;;;;;;;383;;
727022.245;4367181.43;;;;;;;384;;
727045.516;4367176.639;;;;;;;385;;
727052.361;4367188.959;;;;;;;386;;
727029.09;4367200.59399999958;;;;;;;387;;
727053.729;4367203.332;;;;;;;388;;
727037.951;4367208.463;;;;;;;389;;
726802.264;4367126.14099999983;;;;;;;390;;
723150.382;4374943.274;;;;;;;393;;
723159.383;4374925.27199999988;;;;;;;394;;
723170.784;4374907.27;;;;;;;395;;
723144.981;4374807.65699999966;;;;;;;396;;
723121.578;4374810.057;;;;;;;397;;
723107.776;4374789.05399999954;;;;;;;398;;
723090.974;4374813.65799999982;;;;;;;399;;
723083.173;4374783.654;;;;;;;400;;
723065.171;4374819.65799999982;;;;;;;401;;
723093.535;4374775.843;;;;;;;402;;
723072.496;4374833.261;;;;;;;403;;
723071.839;4374841.75899999961;;;;;;;404;;
723062.694;4374858.53;;;;;;;405;;
723037.081;4374874.29399999976;;;;;;;406;;
723048.395;4374839.48699999973;;;;;;;407;;
723007.254;4374907.50399999972;;;;;;;408;;
723000.654;4374964.805;;;;;;;409;;
722983.13;4374986.126;;;;;;;410;;
721491.542;4375763.637;;;;;;;412;;
721560.589;4376133.38399999961;;;;;;;413;;
722082.153;4375776.485;;;;;;;414;;
721574.509;4375786.50299999956;;;;;;;415;;
721216.303;4375388.03799999971;;;;;;;416;;
721248.471;4375375.71899999958;;;;;;;417;;
721257.369;4375394.19799999986;;;;;;;418;;
721349.083;4375386.66899999976;;;;;;;420;;
721381.252;4375390.092;;;;;;;421;;
721404.523;4375373.665;;;;;;;423;;
721372.354;4375322.332;;;;;;;424;;
721310.07;4375359.97599999979;;;;;;;425;;
721292.959;4375347.65699999966;;;;;;;426;;
721225.2;4375413.363;;;;;;;428;;
721296.382;4375453.744;;;;;;;429;;
721111.217;4375500.683;;;;;;;430;;
721120.744;4375569.28;;;;;;;431;;
721162.665;4375588.335;;;;;;;432;;
721205.22;4375610.565;;;;;;;433;;
721243.965;4375628.985;;;;;;;434;;
721630.775;4375639.14699999988;;;;;;;435;;
721649.83;4375632.16;;;;;;;436;;
721677.777;4375840.491;;;;;;;437;;
721825.769;4375833.50499999989;;;;;;;438;;
721799.092;4375841.762;;;;;;;439;;
721802.671;4375890.62399999984;;;;;;;440;;
721750.82;4375953.54899999965;;;;;;;441;;
721786.389;4375950.37399999984;;;;;;;442;;
721757.807;4375990.388;;;;;;;443;;
721706.995;4376048.82299999986;;;;;;;444;;
721802.903;4376031.03799999971;;;;;;;445;;
721885.474;4375898.926;;;;;;;446;;
721892.46;4375914.805;;;;;;;447;;
721898.177;4375853.83;;;;;;;448;;
721917.867;4375841.126;;;;;;;449;;
721901.988;4375771.894;;;;;;;450;;
721832.12;4375758.55599999987;;;;;;;451;;
721839.107;4375784.598;;;;;;;452;;
721861.338;4375739.501;;;;;;;453;;
721847.364;4375726.798;;;;;;;454;;
721829.58;4375742.042;;;;;;;456;;
721788.294;4375730.609;;;;;;;457;;
722110.319;4375698.85099999979;;;;;;;459;;
722128.103;4375702.66199999955;;;;;;;460;;
722128.103;4375736.325;;;;;;;462;;
722128.103;4375759.826;;;;;;;463;;
722098.886;4375757.921;;;;;;;464;;
722118.576;4375788.40799999982;;;;;;;465;;
722103.967;4375789.043;;;;;;;466;;
722146.523;4375800.47599999979;;;;;;;467;;
722185.903;4375778.246;;;;;;;468;;
722182.727;4375737.596;;;;;;;469;;
722163.037;4375747.758;;;;;;;470;;
725401.692;4377321.932;;;;;;;471;;
725382.72;4377347.637;;;;;;;472;;
725389.452;4377396.599;;;;;;;473;;
725509.409;4377411.9;;;;;;;477;;
725462.283;4377403.944;;;;;;;478;;
723980.275;4374947.19099999964;;;;;;;479;;
724009.102;4374922.12399999984;;;;;;;480;;
724029.277;4374899.909;;;;;;;481;;
724044.195;4374910.84399999958;;;;;;;482;;
724065.716;4374953.6;;;;;;;483;;
724065.501;4374875.12399999984;;;;;;;484;;
724134.129;4374851.98599999957;;;;;;;485;;
724131.301;4374835.644;;;;;;;486;;
724206.5;4374814.338;;;;;;;488;;
724224.674;4374794.911;;;;;;;489;;
724263.527;4374770.471;;;;;;;490;;
724207.754;4374718.45799999963;;;;;;;491;;
724279.193;4374674.592;;;;;;;492;;
724269.167;4374617.56599999964;;;;;;;493;;
724286.086;4374613.17899999954;;;;;;;494;;
724331.206;4374564.29899999965;;;;;;;495;;
722150.969;4375731.87899999972;;;;;;;496;;
722177.01;4375685.513;;;;;;;497;;
722184.632;4375668.99899999984;;;;;;;498;;
722140.171;4375677.89099999983;;;;;;;499;;
722244.337;4375656.93099999987;;;;;;;500;;
722216.39;4375686.78299999982;;;;;;;501;;
722225.282;4375714.09499999974;;;;;;;502;;
722316.11;4375655.66;;;;;;;503;;
721929.934;4375639.14699999988;;;;;;;504;;
721962.963;4375641.687;;;;;;;505;;
721952.165;4375611.2;;;;;;;506;;
721924.218;4375621.36199999973;;;;;;;507;;
721924.853;4375594.05;;;;;;;508;;
721908.339;4375602.308;;;;;;;509;;
721932.475;4375559.11699999962;;;;;;;510;;
721989.639;4375602.307;;;;;;;511;;
721965.69;4375467.46899999958;;;;;;;512;;
722009.964;4375487.979;;;;;;;513;;
721891.19;4375545.143;;;;;;;514;;
721830.85;4375540.062;;;;;;;515;;
721649.195;4375489.88499999978;;;;;;;521;;
721703.183;4375404.139;;;;;;;522;;
721731.13;4375402.86799999978;;;;;;;523;;
721764.864;4375425.832;;;;;;;524;;
721776.226;4375408.585;;;;;;;525;;
721783.213;4375368.57;;;;;;;526;;
721812.43;4375414.301;;;;;;;527;;
721835.931;4375364.12399999984;;;;;;;528;;
721881.662;4375397.15199999977;;;;;;;529;;
721893.095;4375383.814;;;;;;;530;;
721935.015;4375390.8;;;;;;;531;;
721918.501;4375437.802;;;;;;;532;;
721901.987;4375454.31599999964;;;;;;;533;;
721968.679;4375402.233;;;;;;;534;;
722001.072;4375360.313;;;;;;;535;;
722010.599;4375328.555;;;;;;;536;;
